Row Labels,Price Low,Price High,Average Volume,Average Price,Volatility,,,,
PBCT,$13.66 ,$19.37 ,"3,513,517",$17.29 ,33%,,,,
PCAR,$53.43 ,$72.89 ,"2,095,844",$64.13 ,30%,,,,
PEG,$49.02 ,$60.36 ,"3,049,437",$53.66 ,21%,,,,
PEP,$95.94 ,$123.19 ,"5,258,166",$111.26 ,24%,,,,
PFE,$34.37 ,$46.47 ,"22,558,610",$40.87 ,30%,,,,
PFG,$40.42 ,$62.07 ,"1,672,867",$52.93 ,41%,,,,
PG,$70.73 ,$105.14 ,"9,185,408",$86.81 ,40%,,,,
PGR,$56.71 ,$73.78 ,"3,346,668",$65.56 ,26%,,,,
PH,$140.82 ,$193.19 ,"1,105,844",$168.02 ,31%,,,,
PHM,$20.64 ,$33.04 ,"5,219,968",$27.58 ,45%,,,,
PKG,$77.90 ,$124.70 ,"883,876",$104.15 ,45%,,,,
PKI,$70.83 ,$103.00 ,"614,525",$84.71 ,38%,,,,
PLD,$55.21 ,$74.44 ,"2,926,865",$66.19 ,29%,,,,
PM,$64.67 ,$103.55 ,"6,466,485",$82.28 ,47%,,,,
PNC,$108.45 ,$152.29 ,"2,412,721",$134.18 ,33%,,,,
PNR,$35.30 ,$49.00 ,"1,661,971",$42.49 ,32%,,,,
PNW,$73.41 ,$97.27 ,"994,019",$84.24 ,28%,,,,
PPG,$94.37 ,$116.73 ,"1,650,140",$106.60 ,21%,,,,
PPL,$25.30 ,$32.89 ,"5,586,038",$29.72 ,26%,,,,
PRGO,$36.28 ,$83.26 ,"1,464,762",$64.58 ,73%,,,,
PRU,$75.61 ,$108.92 ,"2,136,480",$95.84 ,35%,,,,
PSA,$192.02 ,$234.90 ,"948,903",$210.07 ,20%,,,,
PSX,$78.44 ,$123.97 ,"2,704,730",$105.22 ,43%,,,,
PVH,$86.46 ,$169.22 ,"1,118,155",$131.50 ,63%,,,,
PWR,$27.90 ,$40.47 ,"1,398,241",$34.27 ,37%,,,,
PXD,$119.08 ,$213.40 ,"1,652,562",$165.54 ,57%,,,,
PYPL,$70.22 ,$108.54 ,"8,286,827",$87.50 ,44%,,,,
QCOM,$48.56 ,$76.50 ,"13,356,478",$59.21 ,47%,,,,
QRVO,$54.74 ,$86.50 ,"1,319,563",$72.95 ,44%,,,,
RCL,$89.48 ,$133.60 ,"1,775,907",$112.67 ,39%,,,,
RE,$201.09 ,$252.94 ,"284,934",$222.20 ,23%,,,,
REG,$55.38 ,$68.99 ,"1,096,001",$62.54 ,22%,,,,
REGN,$281.89 ,$442.00 ,"763,171",$370.06 ,43%,,,,
RF,$12.39 ,$19.99 ,"12,500,376",$17.12 ,44%,,,,
RHI,$52.79 ,$79.91 ,"1,219,981",$65.68 ,41%,,,,
RHT,$115.31 ,$183.58 ,"2,132,647",$161.58 ,42%,,,,
RJF,$69.11 ,$102.17 ,"938,958",$86.45 ,38%,,,,
RL,$95.63 ,$147.79 ,"1,102,504",$123.47 ,42%,,,,
RMD,$90.64 ,$118.50 ,"850,039",$105.48 ,26%,,,,
ROK,$141.46 ,$198.23 ,"1,058,727",$172.89 ,33%,,,,
ROL,$32.08 ,$42.97 ,"1,007,555",$37.91 ,29%,,,,
ROP,$245.59 ,$351.39 ,"447,251",$291.96 ,36%,,,,
ROST,$75.91 ,$104.35 ,"2,760,803",$89.55 ,32%,,,,
RSG,$64.13 ,$81.20 ,"1,421,376",$72.92 ,23%,,,,
RTN,$144.27 ,$229.75 ,"1,880,048",$189.52 ,45%,,,,
SBAC,$146.13 ,$204.34 ,"810,241",$167.38 ,35%,,,,
SBUX,$47.37 ,$76.95 ,"11,180,778",$60.80 ,49%,,,,
SCHW,$37.83 ,$60.22 ,"6,957,271",$49.01 ,46%,,,,
SEE,$30.22 ,$47.13 ,"1,901,758",$40.57 ,42%,,,,
SHW,$355.28 ,$479.64 ,"730,104",$415.49 ,30%,,,,
SIVB,$177.70 ,$333.74 ,"564,087",$271.78 ,57%,,,,
SJM,$91.32 ,$123.46 ,"1,264,256",$107.48 ,30%,,,,
SLB,$34.99 ,$75.43 ,"9,525,056",$55.78 ,73%,,,,
SLG,$76.77 ,$106.54 ,"716,331",$95.01 ,31%,,,,
SNA,$135.29 ,$189.46 ,"643,915",$161.02 ,34%,,,,
SNPS,$79.14 ,$119.23 ,"1,156,312",$93.87 ,43%,,,,
SO,$42.42 ,$52.65 ,"5,620,154",$46.58 ,22%,,,,
SPG,$145.78 ,$191.49 ,"1,500,173",$174.15 ,26%,,,,
SPGI,$156.68 ,$217.31 ,"1,340,637",$195.15 ,31%,,,,
SRE,$100.49 ,$129.93 ,"1,963,861",$114.85 ,26%,,,,
STI,$46.05 ,$75.08 ,"3,743,105",$64.91 ,45%,,,,
STT,$57.87 ,$104.33 ,"2,568,894",$81.02 ,57%,,,,
STX,$35.38 ,$62.70 ,"3,638,800",$49.19 ,56%,,,,
STZ,$150.37 ,$236.62 ,"2,152,539",$200.30 ,43%,,,,
SWK,$106.41 ,$158.47 ,"1,436,827",$135.14 ,39%,,,,
SWKS,$60.12 ,$104.20 ,"2,045,758",$86.02 ,51%,,,,
SYF,$21.78 ,$36.32 ,"6,230,596",$30.81 ,47%,,,,
SYK,$144.75 ,$199.85 ,"1,355,192",$172.86 ,32%,,,,
SYMC,$17.43 ,$29.20 ,"7,960,609",$21.63 ,54%,,,,
SYY,$59.44 ,$75.98 ,"2,873,273",$67.36 ,25%,,,,
T,$26.80 ,$35.82 ,"37,334,538",$31.63 ,29%,,,,
TAP,$54.17 ,$74.00 ,"2,093,513",$63.55 ,31%,,,,
TDG,$306.53 ,$469.01 ,"386,723",$364.88 ,45%,,,,
TEL,$69.84 ,$102.65 ,"1,905,577",$86.01 ,38%,,,,
TFX,$226.02 ,$309.99 ,"341,071",$266.66 ,31%,,,,
TGT,$60.15 ,$90.39 ,"5,079,910",$77.05 ,39%,,,,
TIF,$73.04 ,$141.64 ,"1,823,721",$110.15 ,62%,,,,
TJX,$40.47 ,$56.64 ,"5,471,265",$49.35 ,33%,,,,
TMK,$69.68 ,$89.62 ,"542,457",$84.12 ,24%,,,,
TMO,$202.83 ,$282.98 ,"1,527,324",$233.84 ,34%,,,,
TPR,$30.69 ,$55.50 ,"3,610,485",$42.45 ,58%,,,,
TRIP,$36.75 ,$69.00 ,"2,273,894",$53.57 ,60%,,,,
TROW,$84.59 ,$127.43 ,"1,368,319",$106.41 ,40%,,,,
TRV,$111.08 ,$138.99 ,"1,510,532",$128.30 ,22%,,,,
TSCO,$58.27 ,$104.74 ,"1,560,855",$84.70 ,55%,,,,
TSN,$49.77 ,$72.42 ,"2,607,788",$63.23 ,36%,,,,
TSS,$75.58 ,$100.39 ,"1,365,270",$90.23 ,27%,,,,
TTWO,$84.41 ,$139.91 ,"2,399,250",$112.11 ,50%,,,,
TWTR,$26.19 ,$47.79 ,"24,680,221",$33.62 ,64%,,,,
TXN,$87.70 ,$118.48 ,"5,836,261",$105.42 ,29%,,,,
TXT,$43.27 ,$72.87 ,"1,819,823",$59.92 ,49%,,,,
UA,$13.90 ,$23.28 ,"2,866,996",$18.88 ,50%,,,,
UAA,$15.91 ,$24.96 ,"5,240,891",$20.67 ,44%,,,,
UAL,$65.45 ,$97.85 ,"3,443,879",$81.57 ,40%,,,,
UDR,$34.48 ,$45.84 ,"1,570,890",$40.05 ,28%,,,,
UHS,$109.37 ,$142.22 ,"759,284",$124.79 ,26%,,,,
ULTA,$218.25 ,$355.73 ,"944,625",$273.78 ,50%,,,,
UNH,$220.77 ,$287.94 ,"3,414,440",$255.43 ,26%,,,,
UNM,$26.77 ,$49.33 ,"2,149,751",$36.81 ,61%,,,,
UNP,$126.37 ,$172.44 ,"4,122,933",$151.00 ,31%,,,,
UPS,$89.89 ,$125.09 ,"3,044,042",$111.46 ,32%,,,,
URI,$94.28 ,$181.66 ,"1,584,244",$139.05 ,63%,,,,
USB,$43.14 ,$55.56 ,"7,159,008",$51.30 ,24%,,,,
UTX,$100.48 ,$144.15 ,"4,401,616",$126.21 ,35%,,,,
V,$119.37 ,$159.64 ,"8,614,422",$139.65 ,29%,,,,
VAR,$101.42 ,$142.50 ,"684,899",$120.37 ,34%,,,,
VFC,$67.18 ,$97.00 ,"2,239,216",$84.13 ,35%,,,,
VIAB,$23.31 ,$34.44 ,"3,949,011",$29.70 ,37%,,,,
VLO,$68.81 ,$126.98 ,"3,705,140",$98.84 ,59%,,,,
VMC,$82.52 ,$133.59 ,"1,322,874",$112.50 ,45%,,,,
VNO,$59.48 ,$77.59 ,"960,748",$69.77 ,26%,,,,
VRSK,$95.21 ,$137.00 ,"806,780",$116.43 ,36%,,,,
VRSN,$116.15 ,$190.50 ,"823,254",$153.12 ,49%,,,,
VRTX,$144.07 ,$195.81 ,"1,442,373",$173.67 ,30%,,,,
VTR,$46.55 ,$65.70 ,"2,227,190",$58.34 ,33%,,,,
VZ,$46.09 ,$61.58 ,"15,633,897",$54.05 ,29%,,,,
WAB,$65.09 ,$115.40 ,"1,248,229",$89.92 ,56%,,,,
WAT,$167.94 ,$255.21 ,"592,029",$203.90 ,43%,,,,
WBA,$53.32 ,$86.31 ,"6,632,216",$69.16 ,48%,,,,
WCG,$192.73 ,$324.99 ,"768,619",$259.95 ,51%,,,,
WDC,$33.83 ,$92.06 ,"5,533,841",$59.62 ,98%,,,,
WEC,$58.48 ,$80.05 ,"1,846,119",$68.81 ,31%,,,,
WELL,$49.58 ,$79.41 ,"2,208,252",$66.57 ,45%,,,,
WFC,$43.02 ,$59.53 ,"21,479,163",$52.64 ,31%,,,,
WHR,$99.40 ,$167.54 ,"1,172,642",$132.11 ,52%,,,,
WLTW,$134.50 ,$187.91 ,"677,164",$155.85 ,34%,,,,
WM,$79.96 ,$104.80 ,"1,952,193",$90.33 ,28%,,,,
WMB,$20.36 ,$32.22 ,"9,585,596",$26.96 ,44%,,,,
WMT,$81.78 ,$106.21 ,"8,278,943",$93.03 ,26%,,,,
WRK,$35.20 ,$67.01 ,"2,191,687",$49.37 ,64%,,,,
WU,$16.42 ,$21.37 ,"5,074,659",$18.89 ,26%,,,,
WY,$20.52 ,$38.39 ,"4,626,345",$30.53 ,59%,,,,
WYNN,$90.06 ,$202.48 ,"2,622,038",$138.94 ,81%,,,,
XEC,$55.62 ,$103.91 ,"1,485,412",$84.43 ,57%,,,,
XEL,$41.99 ,$57.51 ,"3,608,474",$49.18 ,32%,,,,
XLNX,$62.54 ,$134.48 ,"2,942,271",$86.40 ,83%,,,,
XOM,$64.65 ,$87.36 ,"12,760,133",$79.29 ,29%,,,,
XRAY,$33.93 ,$51.46 ,"2,569,708",$42.33 ,41%,,,,
XRX,$18.58 ,$34.64 ,"3,140,785",$27.36 ,59%,,,,
XYL,$60.65 ,$82.64 ,"1,069,252",$72.53 ,30%,,,,
YUM,$77.09 ,$101.60 ,"2,023,506",$88.27 ,28%,,,,
ZBH,$96.99 ,$134.55 ,"1,189,479",$117.64 ,32%,,,,
ZION,$38.08 ,$59.19 ,"2,397,854",$50.43 ,42%,,,,
ZTS,$77.00 ,$103.33 ,"2,366,767",$89.20 ,30%,,,,
Grand Total,$5.91 ,"$2,201.84 ","4,424,157",$113.43 ,1936%,,,,
