Row Labels,Price Low,Price High,Average Volume,Average Price,Volatility,,,,
CAT,$112.06 ,$161.60 ,"5,024,777",$138.31 ,36%,,,,
CB,$119.54 ,$141.59 ,"1,661,331",$132.74 ,17%,,,,
CBOE,$87.87 ,$115.11 ,"889,438",$100.88 ,27%,,,,
CBRE,$37.45 ,$52.19 ,"1,795,198",$45.97 ,32%,,,,
CBS,$41.38 ,$59.59 ,"3,339,486",$52.27 ,35%,,,,
CCI,$98.85 ,$130.60 ,"2,185,757",$111.36 ,29%,,,,
CCL,$45.64 ,$67.69 ,"4,067,981",$58.80 ,38%,,,,
CDNS,$36.65 ,$65.45 ,"1,976,714",$46.75 ,62%,,,,
CE,$82.91 ,$119.29 ,"1,223,618",$105.48 ,34%,,,,
CELG,$58.59 ,$95.30 ,"7,721,521",$83.39 ,44%,,,,
CERN,$48.78 ,$67.57 ,"2,128,931",$59.22 ,32%,,,,
CF,$37.02 ,$56.51 ,"2,870,681",$44.76 ,44%,,,,
CFG,$27.62 ,$43.62 ,"4,722,476",$37.67 ,42%,,,,
CHD,$44.87 ,$74.14 ,"1,947,212",$59.32 ,49%,,,,
CHRW,$78.83 ,$101.20 ,"1,200,302",$89.96 ,25%,,,,
CHTR,$250.10 ,$368.02 ,"1,517,389",$310.31 ,38%,,,,
CI,$158.00 ,$226.61 ,"2,535,316",$187.15 ,37%,,,,
CINF,$66.33 ,$87.52 ,"589,671",$76.88 ,28%,,,,
CL,$57.41 ,$72.61 ,"4,245,388",$64.70 ,23%,,,,
CLX,$113.57 ,$167.70 ,"1,144,996",$144.97 ,37%,,,,
CMA,$63.69 ,$101.05 ,"1,905,100",$87.10 ,43%,,,,
CMCSA,$30.43 ,$41.33 ,"22,626,061",$35.76 ,30%,,,,
CME,$153.90 ,$197.08 ,"1,725,984",$173.53 ,25%,,,,
CMG,$315.95 ,$721.21 ,"772,121",$492.82 ,82%,,,,
CMI,$124.40 ,$172.08 ,"1,434,977",$145.58 ,33%,,,,
CMS,$42.52 ,$56.30 ,"2,466,164",$49.61 ,28%,,,,
CNC,$49.56 ,$74.49 ,"3,419,464",$63.71 ,39%,,,,
CNP,$24.81 ,$31.42 ,"4,839,296",$28.21 ,23%,,,,
COF,$69.90 ,$101.26 ,"2,634,263",$89.66 ,35%,,,,
COG,$20.95 ,$27.62 ,"6,291,964",$24.08 ,28%,,,,
COO,$219.54 ,$302.36 ,"372,044",$258.27 ,32%,,,,
COP,$56.75 ,$80.24 ,"6,582,049",$68.71 ,34%,,,,
COST,$187.01 ,$247.09 ,"2,223,537",$218.34 ,28%,,,,
COTY,$5.91 ,$18.14 ,"9,697,425",$11.54 ,106%,,,,
CPB,$32.03 ,$43.98 ,"3,747,658",$38.06 ,31%,,,,
CPRI,$35.68 ,$75.96 ,"2,771,301",$56.87 ,71%,,,,
CPRT,$44.61 ,$67.08 ,"2,031,799",$54.93 ,41%,,,,
CRM,$113.60 ,$166.99 ,"5,702,559",$143.53 ,37%,,,,
CSCO,$40.25 ,$56.36 ,"22,253,581",$46.25 ,35%,,,,
CSX,$55.39 ,$77.15 ,"5,399,138",$68.64 ,32%,,,,
CTAS,$155.98 ,$217.34 ,"548,614",$191.08 ,32%,,,,
CTL,$11.52 ,$24.20 ,"12,104,873",$17.86 ,71%,,,,
CTSH,$59.47 ,$83.35 ,"3,468,156",$73.94 ,32%,,,,
CTXS,$93.91 ,$116.82 ,"1,861,167",$106.01 ,22%,,,,
CVS,$51.77 ,$82.15 ,"9,792,803",$68.07 ,45%,,,,
CVX,$100.22 ,$131.08 ,"6,479,885",$120.26 ,26%,,,,
CXO,$93.31 ,$163.11 ,"2,050,728",$131.44 ,53%,,,,
