73,BMY,44,64,11343176,54,36,Health Care,HIGH,STABLE,BUDGET
74,BR,91,138,1037604,112,42,Information Technology,LOW,GROWTH,ANY
75,BSX,28,41,7334427,35,37,Health Care,HIGH,STABLE,BUDGET
76,BWA,32,54,1896785,43,51,Consumer Discretionary,LOW,GROWTH,BUDGET
77,BXP,108,139,737488,125,25,Real Estate,LOW,STABLE,ANY
78,C,48,75,17148785,66,41,Financials,HIGH,GROWTH,BUDGET
79,CAG,20,39,6450126,32,60,Consumer Staples,HIGH,GROWTH,BUDGET
80,CAH,42,66,3458117,52,47,Health Care,HIGH,GROWTH,BUDGET
81,CAT,112,162,5024777,138,36,Industrials,HIGH,STABLE,ANY
82,CB,120,142,1661331,133,17,Financials,LOW,STABLE,ANY
83,CBOE,88,115,889438,101,27,Financials,LOW,STABLE,ANY
84,CBRE,37,52,1795198,46,32,Real Estate,LOW,STABLE,BUDGET
85,CBS,41,60,3339486,52,35,Communication Services,HIGH,STABLE,BUDGET
86,CCI,99,131,2185757,111,29,Real Estate,LOW,STABLE,ANY
87,CCL,46,68,4067981,59,38,Consumer Discretionary,HIGH,GROWTH,BUDGET
88,CDNS,37,65,1976714,47,62,Information Technology,LOW,GROWTH,BUDGET
89,CE,83,119,1223618,105,34,Materials,LOW,STABLE,ANY
90,CELG,59,95,7721521,83,44,Health Care,HIGH,GROWTH,BUDGET
91,CERN,49,68,2128931,59,32,Health Care,LOW,STABLE,BUDGET
92,CF,37,57,2870681,45,44,Materials,HIGH,GROWTH,BUDGET
93,CFG,28,44,4722476,38,42,Financials,HIGH,GROWTH,BUDGET
94,CHD,45,74,1947212,59,49,Consumer Staples,LOW,GROWTH,BUDGET
95,CHRW,79,101,1200302,90,25,Industrials,LOW,STABLE,BUDGET
96,CHTR,250,368,1517389,310,38,Communication Services,LOW,GROWTH,ANY
97,CI,158,227,2535316,187,37,Health Care,HIGH,STABLE,ANY
98,CINF,66,88,589671,77,28,Financials,LOW,STABLE,BUDGET
99,CL,57,73,4245388,65,23,Consumer Staples,HIGH,STABLE,BUDGET
100,CLX,114,168,1144996,145,37,Consumer Staples,LOW,STABLE,ANY
101,CMA,64,101,1905100,87,43,Financials,LOW,GROWTH,BUDGET
102,CMCSA,30,41,22626061,36,30,Communication Services,HIGH,STABLE,BUDGET
103,CME,154,197,1725984,174,25,Financials,LOW,STABLE,ANY
104,CMG,316,721,772121,493,82,Consumer Discretionary,LOW,GROWTH,ANY
